operation,amount,time,weights,simple_score,advanced_score,simple_score_per_ms,advanced_score_per_ms
addition,100000.0,31834.55,1.0408,100000.0,104080.0,3.1412411986348165,3.269403839539117
concat,100000.0,48435.7,1.5571,100000.0,155710.0,2.064592851966628,3.2147775297972365
division,100000.0,32248.2,1.0417,100000.0,104170.0,3.10094826998096,3.230257812839166
equals,100000.0,31182.95,1.0044,100000.0,100440.0,3.2068806831938605,3.2209909581999137
fib,100000.0,66596.25,2.175,100000.0,217499.99999999997,1.501586050265593,3.2659496593276645
greater than,100000.0,31592.0,1.0167,100000.0,101670.0,3.1653583185616614,3.218219802481641
isPrime,100000.0,48416.5,1.5851,100000.0,158510.0,2.0654115848935795,3.2738839032148133
len,100000.0,47271.75,1.5291,100000.0,152910.0,2.115428347797575,3.234701486617271
multiplication,100000.0,32517.3,1.0524,100000.0,105240.0,3.0752860784874514,3.2364310690001936
not equals,100000.0,30677.4,1.0,100000.0,100000.0,3.259728660186326,3.259728660186326
pow,100000.0,59256.4,1.9305,100000.0,193050.0,1.6875814258037949,3.257875942514226
rand,100000.0,110234.15,3.6082,100000.0,360820.0,0.9071598955496096,3.2732143351221015
sin,100000.0,47032.75,1.508,100000.0,150800.0,2.126178035517804,3.2062764775608485
smaller than,100000.0,31664.25,1.02,100000.0,102000.0,3.1581357524653195,3.221298467514626
sqrt,100000.0,45918.0,1.5111,100000.0,151110.0,2.177795200139379,3.2908663269306153
substraction,100000.0,32524.35,1.0622,100000.0,106220.0,3.0746194774069275,3.2658608089016385
tan,100000.0,46993.3,1.5298,100000.0,152980.0,2.1279629223740404,3.255357678647807
