operation,amount,time
addition,2000000,1286245
addition,2000000,1258891
addition,2000000,1237551
addition,2000000,1222254
addition,2000000,1210226
addition,2000000,1201913
addition,2000000,1264102
addition,2000000,1227812
addition,2000000,1227353
addition,2000000,1244093
addition,2000000,1282051
addition,2000000,1276928
addition,2000000,1272099
addition,2000000,1271068
addition,2000000,1274792
addition,2000000,1284902
addition,2000000,1273562
addition,2000000,1346668
addition,2000000,1251343
addition,2000000,1265860
addition,2000000,1233197
addition,2000000,1240478
addition,2000000,1229141
addition,2000000,1246575
addition,2000000,1257311
addition,2000000,1263249
addition,2000000,1231257
addition,2000000,1235525
addition,2000000,1221235
addition,2000000,1221838
addition,2000000,1237368
addition,2000000,1241075
addition,2000000,1255046
addition,2000000,1246086
addition,2000000,1270442
addition,2000000,1272390
addition,2000000,1332046
addition,2000000,1246360
addition,2000000,1270168
addition,2000000,1251619
addition,2000000,1258661
addition,2000000,1245751
addition,2000000,1248607
addition,2000000,1256029
addition,2000000,1253653
addition,2000000,1267196
addition,2000000,1234106
addition,2000000,1232618
addition,2000000,1210509
addition,2000000,1212049
addition,2000000,1234918
addition,2000000,1248035
addition,2000000,1240569
addition,2000000,1260532
addition,2000000,1233583
addition,2000000,1334771
addition,2000000,1236196
addition,2000000,1237658
addition,2000000,1245459
addition,2000000,1245966
addition,2000000,1270348
addition,2000000,1247677
addition,2000000,1241618
addition,2000000,1286930
addition,2000000,1246665
addition,2000000,1255850
addition,2000000,1262721
addition,2000000,1253553
addition,2000000,1257300
addition,2000000,1289750
addition,2000000,1246484
addition,2000000,1243797
addition,2000000,1248035
addition,2000000,1240346
addition,2000000,1334652
addition,2000000,1255996
addition,2000000,1226572
addition,2000000,1202078
addition,2000000,1244165
addition,2000000,1241352
addition,2000000,1267156
addition,2000000,1249722
addition,2000000,1247201
addition,2000000,1240575
addition,2000000,1243676
addition,2000000,1256291
addition,2000000,1251479
addition,2000000,1241857
addition,2000000,1253647
addition,2000000,1238042
addition,2000000,1226379
addition,2000000,1216743
addition,2000000,1244797
addition,2000000,1323739
addition,2000000,1237190
addition,2000000,1292897
addition,2000000,1238820
addition,2000000,1244338
addition,2000000,1241276
addition,2000000,1252935
substraction,2000000,1411248
substraction,2000000,1237996
substraction,2000000,1251782
substraction,2000000,1235598
substraction,2000000,1240701
substraction,2000000,1240334
substraction,2000000,1259534
substraction,2000000,1245949
substraction,2000000,1252776
substraction,2000000,1238482
substraction,2000000,1240721
substraction,2000000,1239316
substraction,2000000,1239271
substraction,2000000,1241749
substraction,2000000,1234568
substraction,2000000,1284691
substraction,2000000,1317533
substraction,2000000,1247241
substraction,2000000,1253306
substraction,2000000,1251742
substraction,2000000,1227440
substraction,2000000,1251889
substraction,2000000,1244501
substraction,2000000,1232766
substraction,2000000,1214351
substraction,2000000,1222694
substraction,2000000,1258693
substraction,2000000,1223909
substraction,2000000,1218133
substraction,2000000,1238432
substraction,2000000,1242351
substraction,2000000,1250575
substraction,2000000,1247897
substraction,2000000,1220322
substraction,2000000,1240438
substraction,2000000,1334915
substraction,2000000,1237488
substraction,2000000,1224573
substraction,2000000,1241609
substraction,2000000,1223002
substraction,2000000,1247328
substraction,2000000,1243668
substraction,2000000,1237450
substraction,2000000,1255322
substraction,2000000,1235946
substraction,2000000,1234107
substraction,2000000,1246662
substraction,2000000,1241825
substraction,2000000,1263422
substraction,2000000,1237903
substraction,2000000,1247529
substraction,2000000,1243587
substraction,2000000,1251355
substraction,2000000,1243096
substraction,2000000,1322937
substraction,2000000,1237851
substraction,2000000,1258378
substraction,2000000,1236293
substraction,2000000,1236494
substraction,2000000,1258287
substraction,2000000,1239631
substraction,2000000,1249256
substraction,2000000,1259910
substraction,2000000,1226293
substraction,2000000,1237349
substraction,2000000,1230165
substraction,2000000,1243128
substraction,2000000,1256143
substraction,2000000,1257012
substraction,2000000,1247019
substraction,2000000,1224261
substraction,2000000,1239900
substraction,2000000,1244857
substraction,2000000,1315656
substraction,2000000,1261165
substraction,2000000,1241781
substraction,2000000,1244797
substraction,2000000,1249370
substraction,2000000,1247158
substraction,2000000,1246370
substraction,2000000,1246445
substraction,2000000,1245026
substraction,2000000,1220657
substraction,2000000,1226046
substraction,2000000,1250949
substraction,2000000,1238828
substraction,2000000,1240789
substraction,2000000,1240115
substraction,2000000,1294195
substraction,2000000,1247340
substraction,2000000,1241376
substraction,2000000,1323993
substraction,2000000,1241382
substraction,2000000,1251925
substraction,2000000,1246908
substraction,2000000,1236460
substraction,2000000,1264963
substraction,2000000,1242732
substraction,2000000,1258228
substraction,2000000,1241895
