operation,amount,time,weights
addition,2000000.0,1246620.0,1.0203
concat,2000000.0,1533400.0,1.255
division,2000000.0,1256027.0,1.028
equals,2000000.0,1221803.0,1.0
fib,2000000.0,2160077.0,1.7679
greater than,2000000.0,1228132.5,1.0052
isPrime,2000000.0,1563411.5,1.2796
len,2000000.0,1531905.0,1.2538
multiplication,2000000.0,1243786.0,1.018
not equals,2000000.0,1229018.0,1.0059
pow,2000000.0,1769007.5,1.4479
rand,2000000.0,2687001.5,2.1992
sin,2000000.0,1537069.5,1.258
smaller than,2000000.0,1233972.5,1.01
sqrt,2000000.0,1500615.0,1.2282
substraction,2000000.0,1243112.0,1.0174
tan,2000000.0,1542809.5,1.2627
