addition,100000,51190
addition,100000,51378
addition,100000,50722
addition,100000,51423
addition,100000,50985
addition,100000,57438
addition,100000,50230
addition,100000,50414
addition,100000,50865
addition,100000,51071
substraction,100000,54699
substraction,100000,50809
substraction,100000,51078
substraction,100000,51640
substraction,100000,50733
substraction,100000,50638
substraction,100000,50555
substraction,100000,50076
substraction,100000,50771
substraction,100000,50416
multiplication,100000,51032
multiplication,100000,49720
multiplication,100000,49990
multiplication,100000,50722
multiplication,100000,50566
multiplication,100000,50607
multiplication,100000,51454
multiplication,100000,50056
multiplication,100000,40004
multiplication,100000,30670
division,100000,30974
division,100000,30036
division,100000,29830
division,100000,29757
division,100000,30838
division,100000,30894
division,100000,30315
division,100000,30443
division,100000,31433
division,100000,30562
smaller than,100000,30305
smaller than,100000,29967
smaller than,100000,35517
smaller than,100000,28889
smaller than,100000,30190
smaller than,100000,29961
smaller than,100000,29825
smaller than,100000,29763
smaller than,100000,29662
smaller than,100000,29343
greater than,100000,33073
greater than,100000,28820
greater than,100000,30079
greater than,100000,29404
greater than,100000,30731
greater than,100000,29749
greater than,100000,29267
greater than,100000,29438
greater than,100000,29834
greater than,100000,29255
equals,100000,28719
equals,100000,29792
equals,100000,28896
equals,100000,31079
equals,100000,28860
equals,100000,29199
equals,100000,30230
equals,100000,29599
equals,100000,29072
equals,100000,28938
not equals,100000,29775
not equals,100000,28597
not equals,100000,29320
not equals,100000,28846
not equals,100000,28971
not equals,100000,29730
not equals,100000,28861
not equals,100000,29919
not equals,100000,29284
not equals,100000,29390
isPrime,100000,46911
isPrime,100000,45904
isPrime,100000,49736
isPrime,100000,46169
isPrime,100000,45885
isPrime,100000,46135
isPrime,100000,45793
isPrime,100000,46755
isPrime,100000,47419
isPrime,100000,46662
sin,100000,45250
sin,100000,44193
sin,100000,45122
sin,100000,43770
sin,100000,44482
sin,100000,44070
sin,100000,43602
sin,100000,44424
sin,100000,47472
sin,100000,43640
tan,100000,44431
tan,100000,48397
tan,100000,43925
tan,100000,43152
tan,100000,43036
tan,100000,43651
tan,100000,43346
tan,100000,43885
tan,100000,43313
tan,100000,44796
rand,100000,101718
rand,100000,99409
rand,100000,101980
rand,100000,102598
rand,100000,98769
rand,100000,99036
rand,100000,98943
rand,100000,102462
rand,100000,104981
rand,100000,99132
fib,100000,66064
fib,100000,62451
fib,100000,62578
fib,100000,62344
fib,100000,63352
fib,100000,61692
fib,100000,61641
fib,100000,61326
fib,100000,62035
fib,100000,62594
pow,100000,59463
pow,100000,54494
pow,100000,53474
pow,100000,55763
pow,100000,56419
pow,100000,56434
pow,100000,55762
pow,100000,56244
pow,100000,59948
pow,100000,53327
len,100000,44191
len,100000,50526
len,100000,43856
len,100000,44232
len,100000,43507
len,100000,43496
len,100000,44463
len,100000,43576
len,100000,43849
len,100000,43747
sqrt,100000,43157
sqrt,100000,43541
sqrt,100000,41764
sqrt,100000,45779
sqrt,100000,41739
sqrt,100000,42369
sqrt,100000,42159
sqrt,100000,42715
sqrt,100000,41978
sqrt,100000,42382
concat,100000,44861
concat,100000,44237
concat,100000,44265
concat,100000,47912
concat,100000,43956
concat,100000,44081
concat,100000,43798
concat,100000,47938
concat,100000,43166
concat,100000,43841
