operation,amount,time,weights
addition,100000000.0,18360.0,1.4225
concat,100000000.0,16328.5,1.2651
division,100000000.0,15781.5,1.2228
equals,100000000.0,12906.5,1.0
greater than,100000000.0,17095.5,1.3246
multiplication,100000000.0,12985.0,1.0061
not equals,100000000.0,18562.5,1.4382
pow,100000000.0,1364141.5,105.6941
sin,100000000.0,481078.5,37.2741
smaller than,100000000.0,18334.0,1.4205
sqrt,100000000.0,16387.5,1.2697
substraction,100000000.0,33079.0,2.563
tan,100000000.0,479530.5,37.1542
