operation,amount,time
not equals,100000000,21244
addition,100000000,20720
substraction,100000000,45732
division,100000000,12419
multiplication,100000000,12905
greater than,100000000,17248
smaller than,100000000,23220
sqrt,100000000,17157
pow,100000000,1364151
sin,100000000,482281
tan,100000000,477423
concat,100000000,19178
equals,100000000,12669
not equals,100000000,20387
addition,100000000,11415
substraction,100000000,26181
division,100000000,15013
multiplication,100000000,13205
greater than,100000000,19144
smaller than,100000000,18284
sqrt,100000000,12350
pow,100000000,1362075
sin,100000000,480192
tan,100000000,474585
concat,100000000,14728
equals,100000000,12737
not equals,100000000,14626
addition,100000000,18717
substraction,100000000,31549
division,100000000,17801
multiplication,100000000,12697
greater than,100000000,22528
smaller than,100000000,21419
sqrt,100000000,11522
pow,100000000,1373852
sin,100000000,480851
tan,100000000,477980
concat,100000000,17505
equals,100000000,12940
not equals,100000000,11658
addition,100000000,20961
substraction,100000000,18038
division,100000000,22022
multiplication,100000000,12813
greater than,100000000,18909
smaller than,100000000,15669
sqrt,100000000,17457
pow,100000000,1381904
sin,100000000,479817
tan,100000000,479509
concat,100000000,12352
equals,100000000,13538
not equals,100000000,19026
addition,100000000,18071
substraction,100000000,44010
division,100000000,16725
multiplication,100000000,12726
greater than,100000000,20781
smaller than,100000000,14628
sqrt,100000000,18841
pow,100000000,1359897
sin,100000000,481762
tan,100000000,475562
concat,100000000,18717
equals,100000000,12669
not equals,100000000,19507
addition,100000000,12005
substraction,100000000,18013
division,100000000,14527
multiplication,100000000,12747
greater than,100000000,14321
smaller than,100000000,20710
sqrt,100000000,20309
pow,100000000,1356692
sin,100000000,474529
tan,100000000,475531
concat,100000000,11849
equals,100000000,12743
not equals,100000000,22297
addition,100000000,11893
substraction,100000000,22601
division,100000000,13352
multiplication,100000000,12795
greater than,100000000,14698
smaller than,100000000,14020
sqrt,100000000,14220
pow,100000000,1358356
sin,100000000,478178
tan,100000000,478398
concat,100000000,11564
equals,100000000,12653
not equals,100000000,19659
addition,100000000,16582
substraction,100000000,37721
division,100000000,12067
multiplication,100000000,14971
greater than,100000000,11327
smaller than,100000000,12466
sqrt,100000000,15317
pow,100000000,1357135
sin,100000000,475233
tan,100000000,479552
concat,100000000,20100
equals,100000000,13260
not equals,100000000,14251
addition,100000000,14106
substraction,100000000,26655
division,100000000,14382
multiplication,100000000,13706
greater than,100000000,13457
smaller than,100000000,17129
sqrt,100000000,12307
pow,100000000,1392150
sin,100000000,479167
tan,100000000,477820
concat,100000000,18328
equals,100000000,12979
not equals,100000000,12288
addition,100000000,21774
substraction,100000000,25681
division,100000000,13163
multiplication,100000000,12740
greater than,100000000,11453
smaller than,100000000,14589
sqrt,100000000,16598
pow,100000000,1373068
sin,100000000,489129
tan,100000000,475756
concat,100000000,21879
equals,100000000,13385
not equals,100000000,22155
addition,100000000,19242
substraction,100000000,37203
division,100000000,12008
multiplication,100000000,12805
greater than,100000000,17944
smaller than,100000000,17620
sqrt,100000000,16223
pow,100000000,1350600
sin,100000000,477013
tan,100000000,474216
concat,100000000,15656
equals,100000000,12661
not equals,100000000,21592
addition,100000000,22628
substraction,100000000,34944
division,100000000,19065
multiplication,100000000,12731
greater than,100000000,22371
smaller than,100000000,22018
sqrt,100000000,11638
pow,100000000,1347952
sin,100000000,479080
tan,100000000,472831
concat,100000000,11396
equals,100000000,12711
not equals,100000000,19383
addition,100000000,22647
substraction,100000000,42769
division,100000000,12966
multiplication,100000000,14103
greater than,100000000,15607
smaller than,100000000,19903
sqrt,100000000,15228
pow,100000000,1341346
sin,100000000,473034
tan,100000000,481184
concat,100000000,11742
equals,100000000,12703
not equals,100000000,22359
addition,100000000,20447
substraction,100000000,36909
division,100000000,20338
multiplication,100000000,12724
greater than,100000000,22537
smaller than,100000000,20710
sqrt,100000000,15943
pow,100000000,1371947
sin,100000000,480824
tan,100000000,501873
concat,100000000,11526
equals,100000000,12755
not equals,100000000,11463
addition,100000000,22129
substraction,100000000,43776
division,100000000,21721
multiplication,100000000,12669
greater than,100000000,12690
smaller than,100000000,20128
sqrt,100000000,18077
pow,100000000,1345152
sin,100000000,475589
tan,100000000,477116
concat,100000000,11816
equals,100000000,12949
not equals,100000000,20908
addition,100000000,22278
substraction,100000000,44440
division,100000000,13972
multiplication,100000000,12983
greater than,100000000,22780
smaller than,100000000,17301
sqrt,100000000,18652
pow,100000000,1371651
sin,100000000,478493
tan,100000000,477094
concat,100000000,19900
equals,100000000,12696
not equals,100000000,18548
addition,100000000,21869
substraction,100000000,45009
division,100000000,17682
multiplication,100000000,12650
greater than,100000000,18281
smaller than,100000000,22325
sqrt,100000000,18801
pow,100000000,1345245
sin,100000000,475761
tan,100000000,483428
concat,100000000,18586
equals,100000000,12680
not equals,100000000,19501
addition,100000000,20237
substraction,100000000,39508
division,100000000,12843
multiplication,100000000,12689
greater than,100000000,17877
smaller than,100000000,22421
sqrt,100000000,19234
pow,100000000,1361259
sin,100000000,481671
tan,100000000,477275
concat,100000000,15216
equals,100000000,12688
not equals,100000000,20016
addition,100000000,18776
substraction,100000000,35150
division,100000000,19210
multiplication,100000000,12662
greater than,100000000,17823
smaller than,100000000,19915
sqrt,100000000,19125
pow,100000000,1356416
sin,100000000,474353
tan,100000000,474184
concat,100000000,16340
equals,100000000,12652
not equals,100000000,20468
addition,100000000,22687
substraction,100000000,44354
division,100000000,21217
multiplication,100000000,12806
greater than,100000000,17453
smaller than,100000000,13332
sqrt,100000000,18793
pow,100000000,1349325
sin,100000000,470656
tan,100000000,473924
concat,100000000,11666
equals,100000000,12669
not equals,100000000,18577
addition,100000000,20186
substraction,100000000,43580
division,100000000,11372
multiplication,100000000,13554
greater than,100000000,21999
smaller than,100000000,20991
sqrt,100000000,11694
pow,100000000,1353886
sin,100000000,475996
tan,100000000,473303
concat,100000000,14386
equals,100000000,17476
not equals,100000000,14171
addition,100000000,17486
substraction,100000000,44300
division,100000000,18243
multiplication,100000000,12710
greater than,100000000,20511
smaller than,100000000,18894
sqrt,100000000,19989
pow,100000000,1340896
sin,100000000,472818
tan,100000000,479265
concat,100000000,16907
equals,100000000,12788
not equals,100000000,17453
addition,100000000,18725
substraction,100000000,41899
division,100000000,17909
multiplication,100000000,12669
greater than,100000000,21025
smaller than,100000000,21321
sqrt,100000000,21452
pow,100000000,1359040
sin,100000000,481012
tan,100000000,476412
concat,100000000,19472
equals,100000000,13027
not equals,100000000,21722
addition,100000000,21396
substraction,100000000,27759
division,100000000,16861
multiplication,100000000,12722
greater than,100000000,17443
smaller than,100000000,19115
sqrt,100000000,16987
pow,100000000,1372352
sin,100000000,483089
tan,100000000,476531
concat,100000000,13856
equals,100000000,13730
not equals,100000000,15412
addition,100000000,16688
substraction,100000000,31277
division,100000000,13606
multiplication,100000000,13040
greater than,100000000,21576
smaller than,100000000,20216
sqrt,100000000,19061
pow,100000000,1349384
sin,100000000,475419
tan,100000000,477016
concat,100000000,14489
equals,100000000,12851
not equals,100000000,14793
addition,100000000,20061
substraction,100000000,22885
division,100000000,16863
multiplication,100000000,12653
greater than,100000000,22344
smaller than,100000000,19993
sqrt,100000000,15499
pow,100000000,1375713
sin,100000000,478501
tan,100000000,478465
concat,100000000,16317
equals,100000000,12683
not equals,100000000,20571
addition,100000000,20158
substraction,100000000,15749
division,100000000,13848
multiplication,100000000,12751
greater than,100000000,17227
smaller than,100000000,18540
sqrt,100000000,20355
pow,100000000,1356746
sin,100000000,483747
tan,100000000,476892
concat,100000000,21545
equals,100000000,12676
not equals,100000000,14456
addition,100000000,13527
substraction,100000000,24495
division,100000000,14723
multiplication,100000000,13760
greater than,100000000,14480
smaller than,100000000,12039
sqrt,100000000,16490
pow,100000000,1370326
sin,100000000,476953
tan,100000000,474002
concat,100000000,11409
equals,100000000,13632
not equals,100000000,18599
addition,100000000,11848
substraction,100000000,38633
division,100000000,17070
multiplication,100000000,12926
greater than,100000000,11497
smaller than,100000000,14112
sqrt,100000000,21558
pow,100000000,1360671
sin,100000000,475979
tan,100000000,476953
concat,100000000,13085
equals,100000000,12704
not equals,100000000,22051
addition,100000000,16567
substraction,100000000,14794
division,100000000,14190
multiplication,100000000,12692
greater than,100000000,21963
smaller than,100000000,12415
sqrt,100000000,22882
pow,100000000,1369508
sin,100000000,479838
tan,100000000,530668
concat,100000000,13798
equals,100000000,14487
not equals,100000000,13678
addition,100000000,14100
substraction,100000000,43391
division,100000000,16823
multiplication,100000000,14607
greater than,100000000,15678
smaller than,100000000,17384
sqrt,100000000,16993
pow,100000000,1423222
sin,100000000,511885
tan,100000000,494631
concat,100000000,11749
equals,100000000,14679
not equals,100000000,16285
addition,100000000,16012
substraction,100000000,36237
division,100000000,13092
multiplication,100000000,13671
greater than,100000000,21625
smaller than,100000000,14419
sqrt,100000000,12511
pow,100000000,1371836
sin,100000000,497961
tan,100000000,481464
concat,100000000,16295
equals,100000000,13216
not equals,100000000,20076
addition,100000000,18292
substraction,100000000,32251
division,100000000,17633
multiplication,100000000,13341
greater than,100000000,13109
smaller than,100000000,16627
sqrt,100000000,12010
pow,100000000,1366161
sin,100000000,478589
tan,100000000,481278
concat,100000000,19781
equals,100000000,12926
not equals,100000000,20506
addition,100000000,11558
substraction,100000000,40823
division,100000000,19026
multiplication,100000000,13070
greater than,100000000,21094
smaller than,100000000,14779
sqrt,100000000,11741
pow,100000000,1366059
sin,100000000,480884
tan,100000000,487829
concat,100000000,13680
equals,100000000,13409
not equals,100000000,11792
addition,100000000,12426
substraction,100000000,20929
division,100000000,14366
multiplication,100000000,13120
greater than,100000000,19492
smaller than,100000000,20317
sqrt,100000000,12946
pow,100000000,1403077
sin,100000000,512876
tan,100000000,496846
concat,100000000,18099
equals,100000000,13386
not equals,100000000,13076
addition,100000000,15984
substraction,100000000,12892
division,100000000,22185
multiplication,100000000,13978
greater than,100000000,16698
smaller than,100000000,15034
sqrt,100000000,15678
pow,100000000,1406456
sin,100000000,511031
tan,100000000,504669
concat,100000000,13276
equals,100000000,13292
not equals,100000000,19785
addition,100000000,13043
substraction,100000000,24851
division,100000000,13922
multiplication,100000000,14467
greater than,100000000,14891
smaller than,100000000,22438
sqrt,100000000,14662
pow,100000000,1407921
sin,100000000,509367
tan,100000000,501498
concat,100000000,17333
equals,100000000,13299
not equals,100000000,15970
addition,100000000,12454
substraction,100000000,28629
division,100000000,13197
multiplication,100000000,13752
greater than,100000000,18583
smaller than,100000000,19837
sqrt,100000000,18200
pow,100000000,1401509
sin,100000000,485841
tan,100000000,486341
concat,100000000,12581
equals,100000000,12688
not equals,100000000,21239
addition,100000000,17502
substraction,100000000,25324
division,100000000,16884
multiplication,100000000,13898
greater than,100000000,13721
smaller than,100000000,12764
sqrt,100000000,14690
pow,100000000,1367281
sin,100000000,480108
tan,100000000,479627
concat,100000000,19189
equals,100000000,12673
not equals,100000000,19393
addition,100000000,13150
substraction,100000000,26380
division,100000000,17162
multiplication,100000000,12774
greater than,100000000,17081
smaller than,100000000,13026
sqrt,100000000,16882
pow,100000000,1373259
sin,100000000,485931
tan,100000000,486203
concat,100000000,20094
equals,100000000,12658
not equals,100000000,22122
addition,100000000,11376
substraction,100000000,42492
division,100000000,12025
multiplication,100000000,12922
greater than,100000000,15466
smaller than,100000000,14405
sqrt,100000000,14094
pow,100000000,1366743
sin,100000000,482262
tan,100000000,482168
concat,100000000,21427
equals,100000000,12751
not equals,100000000,19192
addition,100000000,20262
substraction,100000000,19044
division,100000000,16925
multiplication,100000000,12661
greater than,100000000,22781
smaller than,100000000,16242
sqrt,100000000,14399
pow,100000000,1363867
sin,100000000,481759
